Designação,Nome,Logradouro,Bairro,Número,Complemento,CEP,IDEB 1º Segmento,IDEB 2º Segmento,Latitude,Longitude,Ginásio Carioca,Acessibilidade,Séries Atendidas,Turnos Atendidos,Ginásio Olímpico,Diretor,Telefone,INEP,Coordenador Pedagógico
0101001,VICENTE LICINIO CARDOSO,Rua Edgar Gordilho,Praça Mauá,63,,20081-070,,4.4,"-22.8965024081823","-43.1833342798741",N,N,7º Ano/8º Ano/9º Ano/Classe Especial,,N,NIVERTON DE AZEVEDO ANTUNES,2253-4643/2263-7200,33062501,INES GIESTA RESENDE
0101003,DARCY VARGAS,Rua Souza e Silva,Saúde,112,,20220-560,4.3,,"-22.8952543933011","-43.1889073896085",N,S,1º Ano/2º Ano/3º Ano/4º Ano/4º Ano - NCM/5º Ano/6º Ano,,N,CARLA SAMPAIO DE CASTRO E SILVA REIS,2233-0593/2233-0516,33062439,ANDREA DOS SANTOS SIMOES
0101004,BENJAMIN CONSTANT,Pça. Marechal Hermes,Santo Cristo,S/Nº,,20220-430,5.8,5.1,"-22.8994848092641","-43.2051057882848",N,S,1º Ano/2º Ano/3º Ano/4º Ano/4º Ano - NCM/5º Ano/6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Aceleração 1/Aceleração 2A/Aceleração 3/Pré-Escola/Realfabetização 1,,N,ALECIA ALMEIDA DE OLIVEIRA,2263-3188/2233-1322,33062420,CINTIA CECI REZENDE NICOLAU
0101005,GENERAL MITRE,Rua Farnese,Santo Cristo,39,,20220-640,5.6,,"-22.9046035414875","-43.2027793311909",N,S,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/6º Ano/Pré-Escola,,N,MARCELLE CRISTINE DIAS MENDES,2263-5478,33062455,ANA CLAUDIA MARQUES DE SOUZA E SILVA
0101006,FRANCISCO BENJAMIM GALLOTI,Rua da América,Santo Cristo,81,,20220-010,4.4,,"-22.9008675975287","-43.1994643825732",N,S,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano/6º Ano/Pré-Escola,,N,MARIA ROSA DOS SANTOS FERREIRA MENDES,2233-1273/2233-1822,33062447,DANIELLE DA SILVA SANTOS BEAUBERNARD
0101007,MARECHAL MASCARENHAS DE MORAES,Rua Carlos Seidl,Caju,20,,20931-000,,3.8,"-22.8767076487293","-43.2160475038719",N,S,6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano,,N,AGENOR MESQUEU NUNES,3895-8622,33062471,MOEMA RIBEIRO DA SILVA
0101008,MARECHAL ESPERIDIAO ROSAS,Rua Duque De Caxias,Caju,5,,20931-590,5.5,,"-22.8795297221773","-43.2178568299511",N,N,1º Ano/2º Ano/3º Ano/4º Ano/5º Ano,,N,MARIA CRISTINA BRANDAO NEGREIROS CARAMURU,3895-8578/3895-8623,33062463,ALAYDE DUARTE STEFANO GONCALVES
0101009,PROFESSOR WALTER CARLOS DE MAGALHÃES FRAENKEL,Rua Carlos Seidl,Caju,1141,,20931-001,5,4.7,"-22.8779363645307","-43.2236871770444",N,S,6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Aceleração 3/Realfabetização 2,,N,SABRINA LAZARO VIANNA,3878-1610/3895-9100,33062498,PATRICIA QUINTANILHA DE SOUZA
0101011,GEO FÉLIX MIELLI VENERANDO,Rua Carlos Seidl,Caju,,,,,,"-22.876540","-43.230541",N,N,6º Ano/7º Ano/8º Ano,Integral,N,KARLA DE DEUS MACHADO,2213-5768,,ALESSANDRO JESUS CARMO
0101501,HENFIL,Rua Carlos Seidl,Caju,S/Nº,,20931-000,4.2,,"-22.8761248874879","-43.2184480696528",N,S,1º Ano/2º Ano/3º Ano/4º Ano/4º Ano - NCM/5º Ano/6º Ano/Aceleração 1/Aceleração 2A/Classe Especial/PEJA I - Bloco 1/PEJA I - Bloco 2/PEJA II - Bloco 1/PEJA II - Bloco 2/Pré-Escola/Realfabetização 1,,N,MARIA CATALDI FERNANDEZ,3895-8627,33062358,
0101601,LADEIRA DOS FUNCIONÁRIOS,Rua Carlos Seidl  - Ladeira dos Funcionários,Caju,1.281,,20931-004,,,"-22.8786652692299","-43.2239327571972",N,N,Creche,Integral,N,TEREZA CARVALHO DA SILVA,3895-2887/3895-8626,33107122,
0101602,VIRGÍNIA LEMOS,Rua Paraíso,Caju,17,Parque Alegria,20920-460,,,"-22.8859377631083","-43.2328386543882",N,N,Creche,Integral,N,DENISE DE SOUZA DAS CHAGAS,3895-3628,33141177,
0101603,SENNINHA,Travessa Mangueira - Parque Boa Esperança,Caju,S/N°,,20931-001,,,"-22.8825038161915","-43.2283221619169",N,N,Creche/PIC,Integral,N,ELNIRA PEREIRA,3895-3384,33122369,
0101604,SEMPRE VIDA P. CONQUISTA,Rua Carlos Seidl - Parque Conquista,Caju,950,Fundos,20931-001,,,"-22.8773485823905","-43.226045020405",N,N,Creche,Integral,N,RUTE ALBANITA DA SILVA LOPES FERREIRA,3895-3383/3895-8628,33122326,
0101605,CLEMENTE FERREIRA,Rua Carlos Seidl - V. Clemente Ferreira,Caju,813,,20931-002,,,"-22.8755287153745","-43.2223620631828",N,N,Creche,Integral,N,HELENA SILVEIRA VIEIRA,2587-1981/3878-0319,33122474,
0101606,QUINTA DO CAJU,Rua Circular Da Quinta Do Caju,Caju,140,,20931-060,,,"-22.874832784984","-43.2112506076401",N,N,Creche,Integral,N,MARINEYDE BARBOSA BRUM,3895-9151,33128049,
0101607,TIA DORA,Rua Barão da Gamboa,Santo Cristo,203,,20220-690,,,"-22.8976220809546","-43.197150419562",N,N,Creche,Integral,N,DENIZE SCHETTINO,2233-1563,33156514,
0101801,PARQUE DA ALEGRIA,RUA DO TREM,Caju,s/n,,,,,"-22.8840085470695","-43.2306061199401",N,N,Creche/Pré-Escola,Integral,N,IZABEL CRISTINA MARCAL GONCALVES,8459-7979,33519358,
0101802,MACHADO DE ASSIS,Rua das Américas - Comunidade da Providência,Santo Cristo,21,,20220-590,,,"-22.9015169563706","-43.2002747628544",N,N,Creche/Pré-Escola,Integral,N,ELICEA SANTOS DE ALCANTARA BONATES,2520-1110,33164088,
0101803,ANTÔNIO RAPOSO TAVARES,Rua Do Propósito,Gamboa,73,,20220-530,,,"-22.8956674","-43.1943245",N,N,Creche/Pré-Escola,,N,ELIANE SALANDRA SILVA,2253-5876/2233-0706,33062412,SIMONE FERRARO RAMOS
0101804,PROFESSORA LAURA SYLVIA MENDES PEREIRA,Rua Gal. Sampaio,Caju,71,,20931-001,,,"-22.9035393","-43.2095869",N,S,Pré-Escola,,N,,3895-8625,33062480,
0102001,CELESTINO DA SILVA,Rua Do Lavradio,Centro,56,,20230-070,,4.3,"-22.9088075074484","-43.1832054817712",N,N,4º Ano/4º Ano - NCM/5º Ano/6º Ano/7º Ano/7º Ano - NJM/8º Ano/9º Ano/Aceleração 2A,,N,ALICE CARDOSO PEREIRA,2224-2688,33062773,VERA ESPASANDIN CONSTANCIO
